Модель,accuracy,precision,recall,f1,roc_auc,Найкращі параметри
LightGBM,0.9425112417848496,0.9551160136934196,0.9404494382022472,0.9477259860351009,0.9824833484908798,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 70}"
XGBoost,0.9413351781390522,0.9550190597204574,0.9383270911360799,0.9465994962216625,0.9822380480566864,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}"
Gradient Boosting,0.9415427187824282,0.9558467998473088,0.9378277153558052,0.9467515281366186,0.9820887292745976,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}"
Random Forest,0.9397440332065029,0.955583918315252,0.9347066167290886,0.945029977911013,0.9812688173917592,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}"
Decision Tree,0.9371843652715324,0.9532805718662242,0.932334581772784,0.9426912395859631,0.970234404434333,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}"
KNN,0.9179522656520235,0.9343177189409368,0.916354556803995,0.9252489600403379,0.9610276719655126,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
Logistic Regression,0.8756139744033207,0.8737665463297232,0.9064918851435705,0.889828431372549,0.9307699452488113,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}"
